名称,类别,出现回目,季节判断,时令说明,烹饪方式,制作工具,口味特征,食材分类,主要食材,辅料,成品特点,适用人群,食用场景,关联人物,关联事件,稀有程度,食材可得性,保鲜期(小时),清洗难度,去皮难度,去骨去壳难度,刀工精度,腌制时长(小时),泡发时长(小时),焯水过油,工序步骤数,技法种类,火候要求,主动工时(分钟),总耗时(分钟),设备依赖度,能源消耗,最佳赏味窗口(分钟),可保存时长(天),摆盘难度,进食难度,食用耗时(分钟),饱腹感,搭配需求,营养均衡度,健康等级,文化象征礼仪等级,文学权重,文学隐喻
荷叶莲蓬汤,汤羹,第三十五回,夏季,荷叶莲蓬为夏季时令食材,炖煮,砂锅,清鲜/荷香,蔬菜,鲜荷叶/鲜莲蓬/鲜藕,冰糖或盐/清水,汤色清碧；荷香四溢；清甜或咸鲜,通用,病中,贾宝玉,宝玉挨打后想吃的一道汤,时令,★★★,12,★★,★★,★,★,0,0,焯水,3,2,文火,15,40,★★,★★,30,2,★★,★★,10,★,★,★★,低脂,病中,★★★★,宝玉挨打后想吃此汤，凤姐说“口味不算高贵，只是太磨牙”
莲叶羹,汤羹,第三十五回,夏季,同上,炖煮,砂锅,清鲜/荷香,蔬菜,鲜荷叶/鲜莲蓬/鲜藕,冰糖或盐/清水,汤色清碧；荷香四溢；清甜或咸鲜,通用,病中,贾宝玉,即“荷叶莲蓬汤”的别称,时令,★★★,12,★★,★★,★,★,0,0,焯水,3,2,文火,15,40,★★,★★,30,2,★★,★★,10,★,★,★★,低脂,病中,★★★★,同上
合欢汤,汤羹,第五十三回,冬季,除夕春节特定汤品,炖煮,砂锅,花香/清甜,花卉,合欢花,冰糖/清水,汤色淡红；花香清雅；清甜润口,通用,节庆,贾母,贾府除夕合欢宴上的汤品,节庆,★★★,24,★,★,★,★,0,0,无,2,1,文火,10,30,★★,★,30,2,★,★,10,★,★,★,低糖,节庆,★★★★,除夕合欢宴上取“合欢”之意，象征团圆和睦
桂圆汤,汤羹,第九十八回,四季,滋补安神，四季可食,炖煮,砂锅,清甜,果品,桂圆,冰糖/清水,汤色清亮；桂圆甜润,病患,病中,贾宝玉/王夫人,王夫人端给宝玉的汤品,常见,★★,24,★,★★,★,★,0,0,无,2,1,文火,5,20,★★,★,20,2,★,★,5,★,★,★★,高糖,病中,★★★,王夫人叫人端桂圆汤给宝玉喝
疗妒汤,汤羹,第八十回,四季,润肺开胃，四季可食,炖煮,砂锅,清甜,果品,秋梨,冰糖/陈皮,清甜润肺,通用,日常,王一贴,王一贴胡诌的方子,虚构,★★,24,★★,★★,★,★,0,0,无,3,2,文火,10,30,★★,★,30,2,★,★,10,★★,★,★★,低脂,日常,★★★★,王一贴戏说“吃过一百岁，人死了还妒什么”
枫露茶,饮品,第八回,四季,茶品四季皆饮,冲泡,盖碗,清香,茶饮,枫露茶,沸水,茶汤色泽特别；香气独特；回味甘醇,通用,日常,贾宝玉/李嬷嬷,宝玉早起沏的茶,常见,★★★★,720,★,★,★,★,0,0,无,2,1,中火,5,10,★,★★,10,30,★,★,5,★,★,★★,低脂,日常,★★★,宝玉早起沏了此茶，李嬷嬷喝了惹宝玉生气
千红一窟,饮品,第五回,四季,太虚幻境仙茶，超越时令,冲泡,茶具,清奇/仙香,茶饮,仙花灵叶上的宿露,无,茶香清奇；非人间所有；名含深意,通用,梦境,贾宝玉/警幻仙姑,宝玉在太虚幻境品尝的仙茶,仙品,★★★★★,0,★,★,★,★,0,0,无,2,1,中火,5,10,★★,★,10,0,★,★,5,★,★,★★★★,低脂,仙境,★★★★★,警幻仙姑以仙茶款待宝玉，暗示“千红一哭”
暹罗茶,饮品,第二十五回,四季,进口茶品四季可饮,冲泡,盖碗,异域茶香,茶饮,暹罗茶叶,沸水,异域茶香；口感可能偏淡或特殊,通用,日常,王熙凤/林黛玉/贾宝玉,凤姐提到的外国进贡茶,贡品,★★★★,720,★,★,★,★,0,0,无,2,1,中火,5,10,★★,★★,10,365,★,★,5,★,★,★★,低脂,日常,★★★★,凤姐说“那是暹罗国进贡的”
六安茶,饮品,第四十一回,四季,名茶四季皆宜,冲泡,盖碗,清醇,茶饮,六安瓜片,沸水,茶汤清绿；香气清高；滋味醇厚,老人,日常,贾母/妙玉,贾母在栊翠庵品茶时点名不喝的茶,名茶,★★★,720,★,★,★,★,0,0,无,2,1,中火,5,10,★★,★★,10,365,★,★,5,★,★,★★★,低脂,品茶,★★★★,贾母说“我不吃六安茶”，显示对身体（怕寒凉）的了解
老君眉,饮品,第四十一回,四季,发酵茶性温和，四季皆宜,冲泡,盖碗,醇和,茶饮,老君眉,沸水,茶汤红亮；香气醇和；滋味甘醇,老人,日常,贾母/妙玉,妙玉专门为贾母准备的一款茶,名茶,★★★,720,★,★,★,★,0,0,无,2,1,中火,5,10,★★,★★,10,365,★,★,5,★,★,★★★,低脂,品茶,★★★★,妙玉知道贾母不吃六安茶，准备了老君眉
木樨清露,饮品,第三十四回,秋季,桂花秋季开放，露可四季饮用,冲调,玻璃小瓶,花香/清甜,花卉,桂花蒸馏香露,凉开水或冰水,香气清雅如桂花；色泽清澈；口感清甜,通用,日常,王夫人/贾宝玉,王夫人给宝玉的香露之一,宫廷,★★★★,720,★,★,★,★,0,0,无,2,1,无,5,10,★★,★,10,30,★,★,5,★,★,★★,低脂,宫廷,★★★★,王夫人说“一碗水里只挑上一茶匙，就香的了不得”
玫瑰清露,饮品,第三十四回,夏季,玫瑰春夏季开放，露可四季饮用,冲调,玻璃小瓶,花香/清甜,花卉,玫瑰蒸馏香露,凉开水或冰水,玫瑰香浓郁；色泽淡红；清甜适口,通用,日常,王夫人/贾宝玉,王夫人给宝玉的香露之一,宫廷,★★★★,720,★,★,★,★,0,0,无,2,1,无,5,10,★★,★,10,30,★,★,5,★,★,★★,低脂,宫廷,★★★★,与木樨清露一同送给宝玉
酸梅汤,饮品,第三十四回,夏季,酸梅汤为夏季消暑特饮,熬煮,砂锅,酸甜,果品,乌梅/山楂,甘草/冰糖/桂花/清水,汤色红褐；酸甜适口；冰镇更佳,通用,消夏,贾宝玉/袭人,宝玉挨打后想喝的饮品,时令,★★,48,★★,★,★,★,0,0,无,4,2,文火,15,60,★★,★★,30,3,★,★,10,★★,★,★★,中糖,消夏,★★★★,宝玉挨打后“只嚷干渴，要吃酸梅汤”，袭人怕收敛热毒没给吃
玫瑰露,饮品,第六十回,夏季,玫瑰露清凉消夏，四季可饮,冲调,玻璃小瓶,花香/清甜,花卉,玫瑰蒸馏香露,凉开水或冰水,玫瑰香浓郁；色泽艳丽；清甜可口,通用,日常,芳官/柳五儿,芳官送给柳五儿的饮品,常见,★★★,720,★,★,★,★,0,0,无,2,1,无,5,10,★★,★,10,30,★,★,5,★,★,★★,低脂,日常,★★★★,芳官将半瓶玫瑰露送给柳五儿
惠泉酒,饮品,第十六回,四季,黄酒四季可饮，冬日温饮尤佳,发酵,酒坛,醇厚/甘润,谷物,惠泉黄酒,无,酒色琥珀；酒香醇厚；口感甘润,通用,佐餐,王熙凤/赵嬷嬷/贾琏,贾琏从南方带来的酒品,名酒,★★★,720,★,★,★,★,0,0,无,1,1,无,5,0,★★,★,0,365,★,★★,10,★★,★,★★,中脂,佐餐,★★★★,贾琏带惠泉酒回家，凤姐让赵嬷嬷尝
屠苏酒,饮品,第五十三回,冬季,春节特定药酒,浸泡,酒坛,药香/微苦,药膳,多种药材,白酒或黄酒,药香与酒香融合；微苦回甘；暖身驱寒,通用,节庆,贾母,贾府除夕合欢宴上的酒品,节庆,★★★,720,★,★,★,★,24,0,无,3,2,无,15,720,★★,★,0,365,★,★★,10,★★,★,★★★,中脂,节庆,★★★★,除夕合欢宴“献屠苏酒”
合欢酒,饮品,第三十八回,四季,合欢花夏季开，酒可四季饮,浸泡,酒坛,花香/温和,花卉,合欢花,白酒,酒色微黄；花香清雅；酒味温和,通用,佐餐,林黛玉/贾宝玉,黛玉吃蟹后要求喝的酒,养生,★★★,720,★,★,★,★,24,0,无,3,2,无,10,720,★★,★,0,365,★,★★,10,★★,★,★★★,中脂,佐餐,★★★★,黛玉吃蟹后要喝热烧酒，宝玉命烫合欢花浸的酒
黄酒,饮品,第三十八回,秋季,黄酒温饮暖身，螃蟹宴必备,发酵,酒坛,醇厚,谷物,黄酒,无,酒色琥珀；酒香醇厚；口感甘润,通用,佐餐,大观园群芳,螃蟹宴上众人所饮之酒,常见,★★,720,★,★,★,★,0,0,无,1,1,无,5,0,★★,★,0,365,★,★★,10,★★,★,★★,中脂,佐餐,★★★★,螃蟹宴上众人饮黄酒
烧酒,饮品,第三十八回,冬季,高度烧酒暖身驱寒，秋冬尤佳,蒸馏,酒壶,辛辣,谷物,高粱酒或白酒,无,酒性猛烈；入口辛辣；后劲足,体寒者,佐餐,林黛玉,黛玉要求喝的高度酒,常见,★★,720,★,★,★,★,0,0,无,1,1,无,5,0,★★,★,0,365,★,★★,5,★,★,★★,高酒,佐餐,★★★★,黛玉体质虚寒，吃蟹后要喝烧酒驱寒
糖腌玫瑰卤子,饮品,第三十四回,夏季,玫瑰卤四季可冲，夏季清凉,腌渍,瓷罐,花香/甜润,花卉,玫瑰花瓣,糖,香甜浓郁；玫瑰花香突出；色泽艳丽,通用,日常,贾宝玉/袭人,袭人给宝玉调的饮品,常见,★★★,720,★★,★,★,★,48,0,无,3,2,无,30,1440,★★,★,0,30,★,★,5,★,★,★★,高糖,日常,★★★,宝玉挨打后袭人用此给他调水喝，嫌“吃絮了”
洁粉梅片雪花洋糖,饮品,第四十五回,四季,糖果四季可食,精炼,制糖工具,清甜,调味品,冰糖,无,糖体洁白如雪；甜味纯正；质地细腻,通用,馈赠,薛宝钗/林黛玉,宝钗派人送给黛玉的礼物之一,贡品,★★★★,720,★,★,★,★★★★,0,0,无,5,3,中火,60,180,★★★★,★★★,180,365,★★,★,5,★,★,★,高糖,馈赠,★★★★,宝钗派人送燕窝时一并送来
牛奶茯苓霜,补品补食,第六十回,四季,补品四季可服,调冲,碗,奶香/淡香,药膳/乳制品,茯苓/鲜牛奶,无,质地细腻洁白；奶香与茯苓淡香融合,通用,日常,柳五儿,柳五儿给侄儿带去的补品,常见,★★★,24,★,★,★,★★★★,0,0,无,3,2,无,10,20,★,★,20,7,★,★,5,★★,★,★★★,低脂,日常,★★★★,柳家的将此物带给侄儿
牛奶,饮品,无明确回目,四季,日常饮品，滋补营养,直接饮用,碗,奶香,乳制品,鲜牛奶,无,乳白色；奶香浓郁；口感顺滑,通用,日常,贾府上下,贾府日常饮食中的奶制品,常见,★★,24,★,★,★,★,0,0,无,1,1,无,5,0,★,★,10,2,★,★,5,★,★,★★,中脂,日常,★★,书中多次提及“奶子”
杏仁茶,饮品,第五十四回,冬季,杏仁茶暖身，冬季尤佳,熬煮,砂锅,杏仁香/清甜,干果,甜杏仁/糯米粉,糖/清水,色泽乳白；杏仁香浓郁；口感顺滑,通用,节庆,贾母,贾府节庆宴席上的饮品,常见,★★★,48,★★,★★,★,★★,0,0,无,4,2,文火,15,40,★★,★★,30,3,★,★★,10,★★,★,★★★,中糖,节庆,★★★★,出现在贾母元宵夜宴的饮品中
普洱茶,饮品,第六十三回,四季,普洱茶消食解腻，四季可饮,冲泡,盖碗,陈香/醇厚,茶饮,普洱茶,沸水,茶汤红浓明亮；陈香醇厚；滋味甘滑,通用,日常,贾宝玉/林之孝家的,林之孝家的建议宝玉喝的茶,名茶,★★★,720,★,★,★,★,0,0,无,2,1,中火,5,10,★★,★★,10,365,★,★,5,★,★,★★★,低脂,日常,★★★★,林之孝家的见宝玉吃面怕停食，建议“焖些普洱茶”
女儿茶,饮品,第六十三回,四季,茶品四季皆宜,冲泡,盖碗,清雅/鲜爽,茶饮,女儿茶,沸水,茶汤清亮；香气清雅；滋味鲜爽,通用,日常,贾宝玉/袭人,袭人回答林之孝家的时说的茶名,名茶,★★★,720,★,★,★,★,0,0,无,2,1,中火,5,10,★★,★★,10,365,★,★,5,★,★,★★,低脂,日常,★★★,袭人回答“焖了一茶缸子女儿茶”
龙井茶,饮品,第八十二回,春季,龙井以明前为佳，四季可饮,冲泡,玻璃杯或瓷杯,豆香/清雅,茶饮,龙井茶,沸水,茶汤嫩绿明亮；豆香清雅；滋味鲜醇甘爽,通用,日常,林黛玉/贾宝玉,黛玉让紫鹃给宝玉沏的茶,名茶,★★★,720,★,★,★,★,0,0,无,2,1,中火,5,10,★★,★★,10,365,★,★,5,★,★,★★,低脂,日常,★★★★,黛玉让紫鹃“把我的龙井茶给二爷沏一碗”
风干栗子,果品,第十九回,秋冬季,栗子秋季成熟，风干后冬季食用,风干,竹筛,甜香/韧实,干果,栗子,无,风干后栗肉缩紧；甜度浓缩；口感韧而有嚼劲,通用,零食,贾宝玉/袭人,宝玉想吃/袭人剥给他吃的零食,时令,★★★,1440,★★,★★★★,★★★★,★,0,0,无,2,1,无,20,1440,★,★,0,30,★,★★★,20,★★,★,★★,中糖,零食,★★★★,宝玉说“我只想风干栗子吃”，袭人替他剥
落花生仁,果品,无明确回目,秋季,花生秋季收获，干果四季可食,生食或炒制,铁锅,香脆,干果,花生仁,无,香脆可口；富含油脂；微甜,通用,零食,无,书中提及的干果之一,常见,★★,720,★★,★★★★,★★★★,★,0,0,无,2,1,中火,5,15,★★,★★,15,30,★,★★,15,★★,★,★★,中脂,零食,★★,书中在干果子一类中提及
开口松子,果品,无明确回目,秋冬季,松子秋冬收获，干果可存四季,生食,无,松香/酥脆,干果,松子仁,无,松子特有的清香；油脂丰富；酥脆香甜,通用,零食,无,书中提及的干果之一,常见,★★★,720,★,★★★,★★★★,★,0,0,无,1,1,无,5,0,★,★,0,30,★,★★★,20,★★,★,★★,中脂,零食,★★★,作为日常零食或糕点配料
纸皮桃仁,果品,无明确回目,秋冬季,核桃秋季收获，干果四季可食,生食,无,酥脆/微苦,干果,核桃仁,无,桃仁酥脆；微苦回甘；油脂丰富,通用,零食,无,书中提及的干果之一,常见,★★,720,★★,★★★★,★★★★,★,0,0,无,1,1,无,5,0,★,★,0,30,★,★★,15,★★,★,★★,中脂,零食,★★,作为干果之一出现在贾府日常
松子穰,果品,无明确回目,秋冬季,同开口松子,生食,无,松香/酥脆,干果,松子仁,无,同开口松子,通用,零食,无,松子仁的别称,常见,★★★,720,★,★★★,★★★★,★,0,0,无,1,1,无,5,0,★,★,0,30,★,★★★,20,★★,★,★★,中脂,零食,★★★,见“开口松子”
鲜藕,果品,第二十六回,夏秋季,鲜藕为夏秋时令蔬菜,生食或凉拌,无,脆甜/清爽,蔬菜,鲜藕,无,生食脆甜；熟食软糯；口感清爽,通用,日常,薛蟠,薛蟠生日时提到的食材,时令,★★,120,★★★★,★★★★,★,★,0,0,无,2,1,无,10,20,★,★,20,3,★,★★,10,★★,★,★★,低脂,日常,★★★,薛蟠说“这么粗这么长粉脆的鲜藕”
西瓜,果品,第二十六回,夏季,西瓜为夏季消暑特供,生食,刀,清甜/多汁,水果,西瓜,无,瓜瓤鲜红多汁；清甜爽口；解暑佳品,通用,消夏,薛蟠,薛蟠生日时提到的水果,时令,★★,48,★★,★★★★,★,★,0,0,无,2,1,无,10,10,★,★,10,3,★★,★★,10,★★,★,★★,低脂,消夏,★★★,薛蟠将“这么大的西瓜”作为生日礼物
蜜饯荔枝,果品,第八十二回,夏季,荔枝夏季成熟，蜜饯后四季可食,蜜渍,瓷罐,甜香/软韧,水果,荔枝,糖,色泽晶莹；甜香浓郁；口感软韧,通用,馈赠,薛宝钗/林黛玉,宝钗派人送给黛玉的水果,珍贵,★★★★,720,★★,★★★★,★,★,48,0,无,3,2,无,30,1440,★★,★,0,30,★,★★,10,★,★,★★,高糖,馈赠,★★★★,宝钗专门送一瓶给黛玉
红菱,果品,第三十七回,秋季,红菱为秋季水乡特产,生食或煮熟,铁锅,清甜/脆嫩,水果,红菱,无,生食脆甜多汁；熟食粉糯清香,通用,日常,贾宝玉/史湘云,宝玉派人给湘云送的鲜果,时令,★★★,48,★★,★★★★,★★★★,★,0,0,无,2,1,中火,10,20,★★,★★,20,3,★,★★★,15,★★,★,★★,中糖,日常,★★★★,宝玉给湘云送红菱和鸡头
鸡头,果品,第三十七回,秋季,鸡头米为秋季水生植物果实,煮熟,铁锅,软糯/清香,谷物,鸡头米,无,煮熟后口感软糯；微甜清香；滋补养生,通用,日常,贾宝玉/史湘云,即“芡实”，宝玉送给湘云的鲜果,时令,★★★,48,★★,★★,★★,★,0,0,无,2,1,中火,10,30,★★,★★,30,3,★,★★,15,★★,★,★★★,中糖,日常,★★★★,与红菱一同送给湘云
鸡头米,果品,第三十七回,秋季,同鸡头，秋季时令,煮熟,铁锅,软糯/清香,谷物,鸡头米,无,同鸡头,通用,日常,贾宝玉/史湘云,即“鸡头”的米仁部分,时令,★★★,48,★★,★★,★★,★,0,0,无,2,1,中火,10,30,★★,★★,30,3,★,★★,15,★★,★,★★★,中糖,日常,★★★★,见“鸡头”
砂仁,果品,第六十三回,四季,砂仁为干果，四季可食,生食,无,辛香/微苦,调味品,砂仁,无,砂仁有特殊辛香；微苦回甘；嚼后清香,通用,零食,贾蓉/尤二姐,贾蓉与尤二姐抢食的零食,常见,★★,720,★,★,★,★,0,0,无,1,1,无,5,0,★,★,0,30,★,★★,5,★,★,★,低脂,零食,★★★★,贾蓉与尤二姐抢砂仁吃
佛手,果品,第四十回,秋冬季,佛手秋冬成熟，主要供观赏闻香,观赏/闻香,无,清香,水果,佛手,无,佛手有浓郁清香；色泽金黄；造型奇特,通用,陈设,探春,探春房中摆设的果品,罕见,★★★,168,★★,★,★,★,0,0,无,1,1,无,5,0,★,★,0,7,★★★★,★,5,★,★,★★,低脂,陈设,★★★★,探春房中佛手作为陈设
柚子,果品,第四十一回,秋冬季,柚子秋冬时令水果,生食,刀,酸甜/清香,水果,柚子,无,柚子清香；果肉酸甜多汁；柚皮有浓香,儿童,日常,巧姐/板儿,板儿和巧姐儿交换的玩具,时令,★★,168,★★,★★★★,★★★,★,0,0,无,2,1,无,10,10,★,★,10,7,★,★★★★,20,★★,★,★★★,低脂,日常,★★★★,巧姐儿用柚子换板儿的佛手
枣儿,果品,第三十九回,秋季,红枣秋季收获，干果四季可食,风干/生食,竹筛,甜糯,干果,干枣,无,枣肉甜糯；香气浓郁；营养丰富,通用,馈赠,刘姥姥,刘姥姥带来的乡土礼物,常见,★★,1440,★★,★,★★★,★,0,0,无,1,1,无,5,0,★,★,0,30,★,★★,10,★★,★,★★★,高糖,馈赠,★★★★,刘姥姥带枣儿/倭瓜等土产感谢贾府
倭瓜,果品,第三十九回,秋季,南瓜秋季收获,煮/蒸,铁锅/蒸笼,软糯/微甜,蔬菜,倭瓜,无,南瓜软糯；微甜；营养丰富,通用,馈赠,刘姥姥,刘姥姥带来的乡土礼物,常见,★★,168,★★★★,★★★★,★,★,0,0,无,2,1,中火,10,30,★★,★★,30,3,★,★★,20,★★,★,★★★,低脂,馈赠,★★★★,同枣儿一起作为刘姥姥的谢礼
朱桔,果品,第五十回,冬季,朱桔为冬季时令水果,生食,无,酸甜/橘香,水果,朱桔,无,果肉酸甜多汁；橘香浓郁,通用,日常,李纨/袭人,李纨让人带给袭人的果品,时令,★★,168,★★,★★★★,★,★,0,0,无,1,1,无,5,5,★,★,5,7,★,★★,10,★★,★,★★★,低脂,日常,★★★★,李纨命人带朱桔等给袭人
黄橙,果品,第五十回,冬季,黄橙为冬季时令水果,生食,刀,酸甜/橙香,水果,橙子,无,果肉酸甜；橙香浓郁,通用,日常,李纨/袭人,李纨让人带给袭人的果品,时令,★★,168,★★,★★★★,★,★,0,0,无,2,1,无,5,5,★,★,5,7,★,★★★,15,★★,★,★★★,低脂,日常,★★★★,同朱桔一起送给袭人
橄榄,果品,第五十回,秋冬季,橄榄秋冬成熟，干果四季可食,生食或盐渍,无,先苦后甘,干果,橄榄,无,初食苦涩；回味甘甜；生津止渴,通用,日常,李纨/袭人,李纨让人带给袭人的果品,常见,★★,720,★★,★,★★★★,★,0,0,无,2,2,无,5,0,★,★,0,30,★,★★★★,15,★,★,★★,低脂,日常,★★★★,同朱桔/黄橙一起送给袭人
菱角,果品,无明确回目,秋季,菱角为秋季水乡特产,生食或煮熟,铁锅,清甜/粉糯,蔬菜,菱角,无,生食脆甜；熟食粉糯,通用,日常,无,秋季时令果品,时令,★★★,48,★★,★★★★,★★★,★,0,0,无,2,1,中火,10,20,★★,★★,20,3,★,★★★,15,★★,★,★★,中糖,日常,★★★,作为秋季时令果品出现在贾府日常
栗子,果品,第十九回,秋季,同风干栗子，秋季时令,风干/炒制,铁锅/竹筛,甜糯/韧实,干果,栗子,无,同风干栗子,通用,零食,贾宝玉/袭人,即“风干栗子”,时令,★★★,1440,★★,★★★★,★★★★,★,0,0,无,2,1,中火,20,1440,★★,★★,0,30,★,★★★,20,★★,★,★★,中糖,零食,★★★★,同风干栗子
蟠桃,果品,无明确回目,夏季,桃子夏季成熟，象征长寿,生食,无,鲜甜/多汁,水果,蟠桃,无,桃子鲜甜多汁；蟠桃形扁；寓意长寿,通用,寿礼,无,作为寿礼出现,祥瑞,★★,48,★★,★★★★,★,★,0,0,无,1,1,无,5,5,★,★,5,3,★★,★★,10,★★,★,★★★,高糖,寿礼,★★★★,出现在寿礼中，象征长寿
燕窝,补品补食,第四十五回,四季,补品四季可服,泡发/炖煮,银锅/砂锅,清淡/丝滑,药膳,燕窝,清水/冰糖（视做法）,燕窝丝滑软糯；无色无味；依赖辅料提味,病患,病中,林黛玉/薛宝钗,宝钗劝黛玉吃的滋补品,珍贵,★★★★★,720,★★,★,★,★,0,6,无,3,1,文火,20,90,★★★,★,30,2,★,★,10,★★,★,★★★★,低脂,养生,★★★★★,宝钗劝黛玉“比药还强”
燕窝汤,补品补食,第十回,四季,滋补养阴，病中调理,炖煮,银锅/砂锅,清甜/丝滑,药膳,燕窝,冰糖/清水,燕窝丝滑；汤汁清甜,病患,病中,秦可卿/尤氏,尤氏让秦可卿喝的汤品,珍贵,★★★★★,720,★★,★,★,★,0,6,无,3,1,文火,20,90,★★★,★,30,2,★,★,10,★★,★,★★★★,低脂,病中,★★★★,秦可卿病中尤氏让她喝了半钟燕窝汤
茯苓霜,补品补食,第六十回,四季,补品四季可服,调冲,碗,淡香,药膳,茯苓,鲜牛奶或人奶,粉质细腻洁白；淡香；营养滋补,通用,日常,柳五儿,柳五儿转送的补品,常见,★★★,720,★★,★,★★★,★★,0,0,无,3,2,无,10,15,★,★,15,30,★,★,5,★★,★,★★★,低脂,日常,★★★★,柳五儿将茯苓霜转送他人
人参,补品补食,第十回,四季,补品四季可服，秋冬进补更佳,煎汤或含服,药罐,甘/微苦,药膳,人参,无,人参味甘微苦；大补元气,病患,病中,秦可卿,秦可卿药方中的君药,珍贵,★★★★★,720,★★,★,★,★★★,0,0,无,2,1,文火,10,60,★★,★★,60,30,★,★★,10,★,★,★★★★,中脂,药方,★★★★,秦可卿药方中人参为君药
肉桂,补品补食,第四十五回,冬季,肉桂温补，冬季更宜,煎汤,药罐,辛热/香,药膳,肉桂,无,肉桂辛热；有特殊香气；温补命门,通用,药方,林黛玉,黛玉药方中提到的药材,常见,★★★,720,★★,★,★★,★,0,0,无,2,1,文火,5,20,★★,★★,20,30,★,★★,10,★,★,★★★,中脂,药方,★★★★,黛玉抱怨药方中人参肉桂太多
八珍益母丸,补品补食,第二十八回,四季,丸药四季可服,制丸,药碾,药香,药膳,多种中药,无,补气养血；调理月经,妇科,药方,贾宝玉,宝玉猜测的丸药名,成药,★★★,720,★★,★,★,★★★★,0,0,无,6,3,文火,120,180,★★★★,★★,180,365,★,★★,10,★,★,★★★★,中脂,药方,★★★,宝玉猜测丸药名时提及
左归丸,补品补食,第二十八回,四季,丸药四季可服,制丸,药碾,药香,药膳,多种中药,无,滋肾补阴；填精益髓,通用,药方,贾宝玉,宝玉猜测的丸药名,成药,★★★,720,★★,★,★,★★★★,0,0,无,6,3,文火,120,180,★★★★,★★,180,365,★,★★,10,★,★,★★★★,中脂,药方,★★★,宝玉猜测时提及
右归丸,补品补食,第二十八回,四季,丸药四季可服,制丸,药碾,药香,药膳,多种中药,无,温补肾阳；填精补血,通用,药方,贾宝玉,宝玉猜测的丸药名,成药,★★★,720,★★,★,★,★★★★,0,0,无,6,3,文火,120,180,★★★★,★★,180,365,★,★★,10,★,★,★★★★,中脂,药方,★★★,宝玉猜测时提及
八味地黄丸,补品补食,第二十八回,四季,丸药四季可服,制丸,药碾,药香,药膳,多种中药,无,温补肾阳；滋阴补肾,通用,药方,贾宝玉,宝玉猜测的丸药名,成药,★★★,720,★★,★,★,★★★★,0,0,无,6,3,文火,120,180,★★★★,★★,180,365,★,★★,10,★,★,★★★★,中脂,药方,★★★,宝玉猜测时提及
天王补心丹,补品补食,第二十八回,四季,丸药四季可服,制丸,药碾,药香,药膳,多种中药,无,滋阴养血；安神定志,通用,药方,贾宝玉/薛宝钗,宝钗纠正的丸药名,成药,★★★,720,★★,★,★,★★★★,0,0,无,6,3,文火,120,180,★★★★,★★,180,365,★,★★,10,★,★,★★★★,中脂,药方,★★★★,王夫人记得“金刚”，宝钗纠正为“天王补心丹”
冷香丸,补品补食,第七回,四季,四季可服，花蕊需春分晒制,制丸,药碾/瓷坛,清冷/异香,药膳,四种花蕊/四时之水,黄柏,香气清冷；药效神奇；专治“热毒”,通用,药方,薛宝钗,宝钗描述自己的奇病和丸药,特制,★★★★★,720,★★,★,★,★★★★,0,0,无,8,4,文火,180,1440,★★★★,★★,1440,365,★,★★,10,★,★,★★★★,低脂,药方,★★★★★,宝钗介绍此方，周瑞家的感叹“巧死了人”
香雪润津丹,补品补食,第三十回,夏季,清凉润喉，夏季尤佳,制丸,药碾,清凉/甘甜,药膳,多种中药,无,清凉甘甜；润喉生津,通用,日常,贾宝玉/金钏儿,宝玉喂给金钏儿的丸药,常见,★★★,720,★★,★,★,★★★★,0,0,无,5,3,文火,60,120,★★★,★★,120,365,★,★,10,★,★,★★★,低脂,日常,★★★★,宝玉将香雪润津丹喂给金钏儿
十香返魂丹,补品补食,第九十一回,四季,急救用药四季备用,制丸,药碾,芳香,药膳,多种芳香开窍中药,无,芳香开窍；醒神回苏,通用,急救,王熙凤/薛宝钗,凤姐送给宝钗的急救药,珍贵,★★★★,720,★★,★,★,★★★★,0,0,无,6,3,文火,120,180,★★★★,★★,180,365,★,★★,10,★,★,★★★★,中脂,急救,★★★★,宝钗病重时凤姐送此药
至宝丹,补品补食,第九十一回,四季,急救用药四季备用,制丸,药碾,芳香,药膳,多种名贵药材,无,清热开窍；化浊解毒,通用,急救,王夫人/薛宝钗,王夫人送给宝钗的急救药,珍贵,★★★★,720,★★,★,★,★★★★,0,0,无,6,3,文火,120,180,★★★★,★★,180,365,★,★★,10,★,★,★★★★,中脂,急救,★★★★,王夫人送此药给病重的宝钗
人参养荣丸,补品补食,第三回,四季,丸药四季可服,制丸,药碾,药香,药膳,人参/白术/茯苓/当归等,无,补气养血；安神定志,病患,药方,林黛玉,黛玉自述从小服用的丸药,成药,★★★,720,★★,★,★,★★★★,0,0,无,6,3,文火,120,180,★★★★,★★,180,365,★,★★,10,★,★,★★★★,中脂,药方,★★★★★,黛玉从小服用，显示其先天体弱
糟油,调味品,第四十一回,四季,调味品四季使用,发酵提取,酒坛,糟香,调味品,酒糟提取液,无,糟香浓郁；咸鲜微甜,通用,调味,王熙凤,茄鲞制作过程中使用的调味品,特制,★★★,720,★,★,★,★,0,0,无,3,2,无,30,720,★★,★,0,365,★,★,0,★,★,★,低脂,调味,★★★,茄鲞制作中“外加糟油一拌”
