名称,类别,出现回目,季节判断,时令说明,菜品背景,主要食材,成品特点,文学隐喻,备注
蜜,调味品,无明确回目,四季,基础调味品,日常调味品,"蜂蜜","甜味；润燥；清香","用于蜜饯制作和调饮",
花椒,调味品,无明确回目,四季,调味品四季使用,日常调味品,"花椒","麻味；香气；去腥","贾府烹饪中用于去腥增香",
糟蒸鲥鱼,菜肴,无明确回目,春季,鲥鱼为春季江鲜，时令性极强,脂批提及，非正文,"鲥鱼；糟卤","鱼肉细嫩；糟香浓郁","脂批中提及，显示贾府饮食包括鲥鱼",
面筋芦蒿,菜肴,第六十一回,春季,芦蒿为春季时蔬,晴雯要吃蒿子秆时提到的配菜,"面筋；芦蒿；油；盐；蒜末","芦蒿爽脆；面筋柔韧有嚼劲；清鲜可口","晴雯要吃蒿子秆，柳家的问“肉炒鸡炒”",
芦蒿炒面筋,菜肴,第六十一回,春季,同面筋芦蒿，春季时蔬,即“面筋芦蒿”,"面筋；芦蒿；油；盐；蒜末","同面筋芦蒿","同面筋芦蒿",
板栗野鸭肉丁,菜肴,无明确回目,秋季,板栗秋熟，野鸭秋肥,推测为秋冬时令菜,"板栗；野鸭肉；酱油；糖；料酒；姜","板栗甜糯；野鸭紧实鲜美","书中分别提及板栗和野鸭",
燕窝秋梨鸭子热锅,菜肴,无明确回目,秋冬季,秋梨润燥，鸭子滋阴，热锅暖身,推测为秋冬滋补热菜,"燕窝；秋梨；鸭子；高汤；盐；姜","鸭肉酥烂；梨甜润；燕窝丝滑；汤汁醇厚","书中分别提及燕窝、秋梨和鸭子",
皇恩紫米粥,主食粥饭,无明确回目,四季,粥品四季皆宜,推测为“红稻米粥”别名,"紫米或红米；清水","粥色紫红；米香独特；口感黏糯","可能为“红稻米粥”的别称或同类",
酥炸咸鱼包,点心,无明确回目,四季,炸制品四季皆可,推测为一款咸鲜口味的油炸包子,"咸鱼；面粉；猪肉","外皮酥脆；内馅咸鲜；风味独特","未在正文中明确出现",
雪燕菊花冻糕,点心,无明确回目,夏季,菊花秋季开放，冻糕夏季清凉,推测为一道精致甜品,"雪燕；菊花；糖；琼脂","晶莹剔透；菊花清香；口感Q弹","未在正文中明确出现",
苡米野鸡汤,汤羹,无明确回目,秋冬季,苡米四季可食，鸡汤滋补,推测为一道滋补汤品,"苡米；野鸡；姜；盐；料酒","汤色清醇；鸡肉酥烂；苡米软糯","书中提及薏米和野鸡",
火腿炖肚子,菜肴,无明确回目,冬季,同火腿炖肘子，炖菜宜冬,推测为“火腿炖肘子”的类似菜,"火腿；猪肚；姜；料酒；盐","猪肚软烂；汤鲜味醇","见“火腿炖肘子”",
八仙鸭子杂烩,菜肴,无明确回目,四季,鸭子四季皆可，宴席菜,推测为一道鸭子综合菜,"鸭子；多种配料","营养丰富；口感复合","书中提及鸭子杂烩",
鸭子炖面筋,菜肴,无明确回目,四季,家常炖菜四季皆可,鸭肉与面筋的搭配家常炖菜,"鸭子；面筋；酱油；糖；料酒；姜","鸭肉酥烂；面筋吸满汤汁","书中提及鸭子和面筋",
野鸡,菜肴原料,第五十三回,秋冬季,野鸡秋冬季肥美，年货进献,乌庄头进献的年货之一,"野鸡","肉质紧实；野味浓郁","乌庄头进献“野鸡野猫各二百对”",
家腊猪,菜肴原料,第五十三回,冬季,腊肉为冬季年货，四季可存,乌庄头进献的年货之一,"猪肉；盐；香料","肉质紧实咸香；腊味浓郁","乌庄头进献“家腊猪二十个”",
野猪,菜肴原料,第五十三回,秋冬季,野猪秋冬季狩猎所得,乌庄头进献的年货之一,"野猪肉","肉质紧实；野味浓郁","乌庄头进献“野猪二十个”",
家汤羊,菜肴原料,第五十三回,冬季,羊肉冬令滋补，年货进献,乌庄头进献的年货之一,"羊肉","羊肉温补；肉质鲜嫩","乌庄头进献“家汤羊二十个”",
家风羊,菜肴原料,第五十三回,冬季,风羊为冬季腊制年货,乌庄头进献的年货之一,"风干羊肉","肉质紧实；腊香浓郁","乌庄头进献“家风羊二十个”",
大对虾,菜肴原料,第五十三回,春秋季,对虾春秋为主，干虾四季可存,乌庄头进献的年货之一,"对虾","虾肉鲜甜紧实；色泽红亮","乌庄头进献“大对虾五十对”",
干虾,菜肴原料,第五十三回,四季,干虾为海产干货四季可存,乌庄头进献的年货之一,"虾干","干虾咸鲜浓缩；海鲜风味浓郁","乌庄头进献“干虾二百斤”",
银霜炭,燃料,第五十三回,冬季,优质木炭冬季取暖专用,乌庄头进献的燃料之一,"木炭","燃烧持久；火力均匀；无烟无味","乌庄头进献“银霜炭上等选用一千斤”",
御田胭脂米,主食粥饭,第五十三回,秋季,秋季新米收获后进献,乌庄头进献的粮食之一,"胭脂米","米粒微红；香气独特；口感软糯","乌庄头进献“御田胭脂米二担”",
碧糯,主食粥饭,第五十三回,秋季,秋季新米收获后进献,乌庄头进献的粮食之一,"碧糯","米粒微绿；口感软糯；香气清雅","乌庄头进献“碧糯五十斛”",
白糯,主食粥饭,第五十三回,秋季,秋季新米收获后进献,乌庄头进献的粮食之一,"白糯米","米粒洁白；口感软糯；黏性大","乌庄头进献“白糯五十斛”",
粉粳,主食粥饭,第五十三回,秋季,秋季新米收获后进献,乌庄头进献的粮食之一,"粉粳米","米粒饱满；口感绵软；米香纯正","乌庄头进献“粉粳五十斛”",
各色干菜,蔬菜类,第五十三回,秋冬季,秋季晒制冬季食用,乌庄头进献的菜蔬之一,"各种干菜","干菜风味浓缩；口感韧实","乌庄头进献“各色干菜一车”",
椒油莼齑酱,调味品/小菜,第七十五回,春季,莼菜春季采摘，酱可四季存,贾母餐桌上的佐餐小菜,"莼菜；椒油；酱料","酱菜风味；椒油麻辣鲜香；莼菜脆嫩","贾母说“我倒也想这个吃”",
野鸡爪子,菜肴,第四十九回,秋冬季,与野鸡瓜类似，秋冬时令,与野鸡瓜类似,"野鸡爪","与野鸡瓜类似","与野鸡瓜类似",
野鸡崽子汤,汤羹,第四十三回,秋冬季,野鸡秋冬肥美,凤姐孝敬贾母的汤品,"野鸡崽子","汤鲜味美；肉质细嫩","贾母说“倒有味儿，又吃了两块肉”",
虾丸鸡皮汤,汤羹,第六十二回,四季,汤品四季皆可,芳官给宝玉送饭中的汤品,"虾丸；鸡皮；汤底","虾丸鲜嫩；鸡皮滑润；汤清味鲜","芳官给宝玉送来的饭食之一",
老蚌怀珠,菜肴,无明确回目,四季,名贵宴席菜四季皆可,推测为一道名菜,"贝类或甲鱼；鸽蛋或鱼丸","造型美观；味道鲜美；寓意吉祥","书中未明确出现，为后世推测",建议删除
怡红祝寿,菜肴,无明确回目,四季,寿宴菜四季皆可,推测为宝玉怡红院主题的宴席菜,"多种食材","颜色鲜艳；寓意吉祥","推测为贾府重要场合菜品",建议删除
白雪红梅,菜肴,无明确回目,冬季,红梅冬日盛开，意境菜,推测为一道意境菜,"白色和红色食材","清雅；有意境；色彩鲜明","文学想象",建议删除
姥姥鸽蛋,菜肴,第四十回,四季,即“鸽子蛋”的附会,刘姥姥进大观园时的趣事,"鸽子蛋","同鸽子蛋","同鸽子蛋",建议删除
金凤鲟龙翅,菜肴,无明确回目,四季,原著中无此菜名，为后世推测,推测为宴席大菜,"鲟鳇鱼；鸡翅","鲜美；名贵","书中提及“鲟鳇鱼”但非此菜名",建议删除
鸡油青笋,菜肴,无明确回目,四季,书中分别提及但未组合成菜名,推测为家常小炒,"鸡油；青笋","清香爽脆","书中提及“鸡油”和“青笋”但非此菜名",建议删除
琥珀燕窝,菜肴,无明确回目,四季,原著中无此具体菜名,推测为燕窝的一种吃法,"燕窝；琥珀色汤汁","燕窝丝滑；汤汁浓郁","书中提及“燕窝”但非此菜名",建议删除
银耳鸽子蛋,补品补食,无明确回目,四季,书中分别提及但未组合,推测为滋补甜品,"银耳；鸽子蛋","清甜滋补","书中提及“银耳”和“鸽子蛋”但非此品名",建议删除
